MONATSBUDGET,4/2026 *,
Exportdatum,01.05.2026 14:20:27 *,
,,
=== EINNAHMEN ===,,
Name,Betrag,
Gehalt *,  1500.55 *,
Rente *,  100.45 *,
EINNAHMEN GESAMT,  1601.0 *,
,,
=== ÜBERWEISUNGEN ===,,
Name,Betrag,
Rest März *,   81.55  *,
Überweisung an Lukas *,  -250.45 *,
ÜBERWEISUNGEN GESAMT,  -168.9 *,
,,
=== EINKÄUFE ===,,
Geschäft,Betrag,Datum
Rewe *,  100.55 *,2026-04-13
Apotheke *,  20.45 *,2026-04-13
EINKÄUFE GESAMT,  121.0 *,
,,
=== KRAFTSTOFF ===,,
Fahrzeug,Betrag,Datum
Volkswagen Golf *,  99.0 *,2026-04-13
KRAFTSTOFF GESAMT,  99.0 *,
,,
=== AUSGEWÄHLTE LASTSCHRIFTEN ===,,
Name,Betrag,
Kredit *,  600.0 *,
Sparkonto *,  100.0 *,
Wasser *,  69.5 *,
Versicherung *,  102.18 *,
Strom *,  95.9 *,
Steuern *,  54.0 *  ,
Telefonie *,  65.99 *,
LASTSCHRIFTEN GESAMT,1087.57 *,
,,
=== NOTIZ ===,,
,,
Letzte Änderung,28.04.2026 12:05:48 *,
