MONTHLY BUDGET,4/2026 *,
Export date,2026-05-01 14:20:27 *,
,,
=== INCOME ===,,
Name,Amount,
Salary *,  1500.55 *,
Pension *,  100.45 *,
TOTAL INCOME,  1601.0 *,
,,
=== TRANSFERS ===,,
Name,Amount,
March balance *,   81.55  *,
Transfer for James *,  -250.45 *,
TOTAL TRANSFERS,  -168.9 *,
,,
=== GROCERIES ===,,
Store,Amount,Date
Walmart *,  100.55 *,2026-04-13
Pharmacy *,  20.45 *,2026-04-13
TOTAL GROCERIES,  121.0 *,
,,
=== FUEL ===,,
Vehicle,Amount,Date
Ford F-150 *,  99.0 *,2026-04-13
TOTAL FUEL,  99.0 *,
,,
=== SELECTED DIRECT DEBITS ===,,
Name,Amount,
Loan *,  600.0 *,
Savings *,  100.0 *,
Water *,  69.5 *,
Insurance *,  102.18 *,
Electricity *,  95.9 *,
Taxes *,  54.0 *  ,
Phone *,  65.99 *,
TOTAL DIRECT DEBITS,1087.57 *,
,,
=== NOTE ===,,
,,
Last modified,2026-04-28 12:05:48 *,
