PRESUPUESTO DEL MES,4/2026 *,
Fecha de exportación,01/05/2026 14:20:27 *,
,,
=== INGRESOS ===,,
Nombre,Cantidad,
Salario *,  1500.55 *,
Pension *,  100.45 *,
TOTAL INGRESOS,  1601.0 *,
,,
=== TRANSFERENCIAS ===,,
Nombre,Cantidad,
Saldo de marzo *,   81.55  *,
Transferencia para Mateo *,  -250.45 *,
TOTAL TRANSFERENCIAS,  -168.9 *,
,,
=== COMPRAS ===,,
Tienda,Cantidad,fecha
Mercadona *,  100.55 *,2026-04-13
Farmacia *,  20.45 *,2026-04-13
TOTAL COMPRAS,  121.0 *,
,,
=== COMBUSTIBLE ===,,
Vehículo,Cantidad,fecha
Cantidad,  99.0 *,2026-04-13
Cantidad,  99.0 *,
,,
=== DOMICILIACIONES SELECCIONADAS ===,,
Nombre,Cantidad,
Cantidad,  600.0 *,
Ahorros *,  100.0 *,
Agua *,  69.5 *,
Seguro *,  102.18 *,
Electricidad *,  95.9 *,
Impuestos *,  54.0 *  ,
Telefonía *,  65.99 *,
TOTAL DOMICILIACIONES,1087.57 *,
,,
=== NOTA ===,,
,,
Última modificación,28/04/2026 12:05:48 *,
