今月の予算,4/2026 *,
エクスポート日,2026年05月01日 14:20:27 *,
,,
=== 収入 ===,,
名前,金額,
給与 *,  1500.55 *,
年金 *,  100.45 *,
収入合計,  1601.0 *,
,,
=== 振替 ===,,
名前,金額,
3月の残高 *,   81.55  *,
ユウトへの振替 *,  -250.45 *,
振替合計,  -168.9 *,
,,
=== 買い物 ===,,
店舗,金額,日付
ドン・キホーテ *,  100.55 *,2026-04-13
薬局 *,  20.45 *,2026-04-13
買い物合計,  121.0 *,
,,
=== 燃料 ===,,
車両,金額,日付
日産ノート *,  99.0 *,2026-04-13
燃料合計,  99.0 *,
,,
=== 選択された口座引き落とし ===,,
名前,金額,
ローン *,  600.0 *,
貯金 *,  100.0 *,
水道代 *,  69.5 *,
保険 *,  102.18 *,
電気代 *,  95.9 *,
税金 *,  54.0 *  ,
通信費 *,  65.99 *,
口座引き落とし合計,1087.57 *,
,,
=== メモ ===,,
,,
最終更新,2026年04月28日 12:05:48 *,
