이번 달 예산,4/2026 *,
내보내기 날짜,2026년 05월 01일 14:20:27 *,
,,
=== 수입 ===,,
이름,금액,
급여 *,  1500.55 *,
연금 *,  100.45 *,
수입 합계,  1601.0 *,
,,
=== 이체 ===,,
이름,금액,
3월 잔액 *,   81.55  *,
서준에게 보내는 이체 *,  -250.45 *,
이체 합계,  -168.9 *,
,,
=== 장보기 ===,,
매장,금액,날짜
홈플러스 *,  100.55 *,2026-04-13
약국 *,  20.45 *,2026-04-13
장보기 합계,  121.0 *,
,,
=== 연료 ===,,
차량,금액,날짜
현대 싼타페 *,  99.0 *,2026-04-13
연료 합계,  99.0 *,
,,
=== 선택된 자동이체 ===,,
이름,금액,
대출 *,  600.0 *,
저축 *,  100.0 *,
수도세 *,  69.5 *,
보험 *,  102.18 *,
전기세 *,  95.9 *,
세금 *,  54.0 *  ,
통신비 *,  65.99 *,
자동이체 합계,1087.57 *,
,,
=== 참고사항 ===,,
,,
마지막 수정,2026년 04월 28일 12:05:48 *,
