ORÇAMENTO DO MÊS,4/2026 *,
Data de exportação,01/05/2026 14:20:27 *,
,,
=== RECEITAS ===,,
Nome,Valor,
Salário *,  1500.55 *,
Renda *,  100.45 *,
TOTAL DE RECEITAS,  1601.0 *,
,,
=== TRANSFERÊNCIAS ===,,
Nome,Valor,
Saldo de março *,   81.55  *,
Transferência para Arthur *,  -250.45 *,
TOTAL DE TRANSFERÊNCIAS,  -168.9 *,
,,
=== COMPRAS ===,,
Loja,Valor,Data
Carrefour *,  100.55 *,2026-04-13
Farmácia *,  20.45 *,2026-04-13
TOTAL DE COMPRAS,  121.0 *,
,,
=== COMBUSTÍVEIS ===,,
Veículo,Valor,Data
Chevrolet Onix *,  99.0 *,2026-04-13
TOTAL DE COMBUSTÍVEIS,  99.0 *,
,,
=== DÉBITOS SELECIONADOS ===,,
Nome,Valor,
Empréstimo *,  600.0 *,
Economias *,  100.0 *,
Água *,  69.5 *,
Seguro *,  102.18 *,
Eletricidade *,  95.9 *,
Impostos *,  54.0 *  ,
Telefonia *,  65.99 *,
TOTAL DE DÉBITOS,1087.57 *,
,,
=== OBSERVAÇÃO ===,,
,,
Última modificação,28/04/2026 12:05:48 *,
