BUDGET PARA SA BUWAN,2026-05 *,
Petsa ng export,2026-05-01 14:20:27 *,
,,
=== KITA ===,,
Pangalan,Halaga (PHP),
Sahod (medyo kita)*,"18,000.00*",
Paupahan (Renta)*,"1,200.00*",
KABUUANG KITA,"19,200.00*",
,,
=== PAGLIPAT NG PERA ===,,
Pangalan,Halaga (PHP),
Natira mula Marso*,980.00*,
Padala para kay Junjun*,"-2,800.00*",
KABUUANG PAGLIPAT,"-1,820.00*",
,,
=== GROSERI (Pamilihin) ===,,
Tindahan,Halaga (PHP),Petsa
Puregold*,"1,200.00*",2026-04-13
Watsons*,250.00*,2026-04-13
KABUUANG GROSERI,"1,450.00*",
,,
=== GASOLINA ===,,
Sasakyan,Halaga (PHP),Petsa
Tricycle / Honda Beat*,500.00*,2026-04-13
KABUUANG GASOLINA,500.00*,
,,
=== MGA NAPILING AUTOMATIC NA BAYARIN ===,,
Pangalan,Halaga (PHP),
Housing Loan (Pag-IBIG)*,"3,500.00*",
Ipon (MP2 Savings / Alkansya)*,500.00*,
Tubig (Water District)*,400.00*,
Insurance (PhilHealth only)*,450.00*,
Kuryente (Electric Co-op)*,800.00*,
Buwis (Tax - Withholding)*,350.00*,
Globe / Smart (Prepaid / Load)*,  65.99 *,
KABUUANG AUTOMATIC NA BAYARIN,"6,300.00*",
,,
=== BALANSE (Natirang Pera) ===,,
,,
Huling binago,2026-04-28 12:05:48 *,
