BUDGET DU MOIS,4/2026,
Date d'export,2026-05-01 14:20:27,
,,
=== REVENUS ===,,
Nom,Montant,
Salaire *,  1500.55 *,
Rente *,  100.45 *,
TOTAL REVENUS,  1601.0 *,
,,
=== VIREMENTS ===,,
Nom,Montant,
Reste mois de mars*,   81.55  *,
Virement pour John*,  -250.45 *,
TOTAL VIREMENTS,  -168.9 *,
,,
=== COURSES ===,,
Magasin,Montant,Date
Leclerc *,  100.55 *,2026-04-13
Pharmacie *,  20.45 *,2026-04-13
TOTAL COURSES,  121.0 *,
,,
=== CARBURANTS ===,,
Véhicule,Montant,Date
Renault 5 *,  99.0 *,2026-04-13
TOTAL CARBURANTS,  99.0 *,
,,
=== PRÉLÈVEMENTS SÉLECTIONNÉS ===,,
Nom,Montant,
Prêt *,  600.0 *,
Économies *,  100.0 *,
Eau *,  69.5 *,
Assurance *,  102.18 *,
Électricité *,  95.9 *,
Impôts *,  54.0 *  ,
Téléphonie *,  65.99 *,
TOTAL PRÉLÈVEMENTS, ,
,,
=== NOTE ===,,
,,
Dernière modification,2026-04-28 12:05:48,
